Latitude,Longitude,Time_Created,Tweet
41.86853168,-71.12048297,7/17/2012 22:26,"I have learned that beauty has to flourish in the light, wild horses run unbridled or their spirit DIES."
19.36866696,-99.18192378,12/2/2012 23:33,Wild horses run unbridled or their spirit dies
41.87619574,-71.55423561,3/17/2013 23:59,@30for30 @espn One of the best documentaries I have seen in a long time; #SurviveAndAdvance tells the story of courage and unbridled spirit
41.6556855,-81.40138944,4/10/2013 13:24,"@BrunoMars Just love the natural spirit, unstoppable energy you project. You just make me happy Bruno.Ur raw, unbridled talent, unstoppable."
38.3838072,-84.2991179,5/24/2013 11:46,I got that unbridled spirit
40.78085,-73.94919,6/8/2013 11:11,@monaeltahawy @PaulEubanks1 @thisispolica ur spirit is unbridled! Be careful my dear!
36.5912995,-84.10481572,6/22/2013 12:08,Gettin' lucky. #unbridled #spirit #kentucky @ Kentucky/Tennessee Border http://t.co/1qMzejboAX
49.21207581,-122.9588936,8/28/2013 13:41,"..,beauty has to flourish in the light.  Wild horses run unbridled or their spirit dies... Such spiritual lyrics."
36.14298818,-86.76505197,9/6/2013 7:12,Experience Kentucky's unbridled spirit..@ The Trailer Perk! With the Ky Bourbon Pecan Pie Latte! http://t.co/oJJSugEjq3
49.2890387,-123.1162291,9/17/2013 17:40,"'Unbridled Spirit' not a hit with super fans. Created their own brand, including #kentuckykicksass not govt one. #artofmarketing"
37.11510945,-88.69327219,11/27/2013 22:15,Now entering Kentucky: Unbridled spirit.
34.2116423,-118.3883168,3/29/2014 12:12,Wild horses run unbridled or their spirit dies.
41.10923991,-73.42978426,3/13/2014 0:39,Rust Cohle is my new spirit animal. Pure &amp; unbridled cynicism for the world.
33.497451,-117.158151,7/16/2014 18:35,100 love letters left unopened Thousands of words unseen and unread An unbridled spirit free and unbroken Must you leave with so much unsaid
36.276246,-84.205476,9/1/2014 10:21,Unbridled spirit #Kentucky @ Cumberland Falls State Resort Park http://t.co/hQB3D4YT3g
39.07702216,-84.52093289,10/18/2012 10:19,Unbridled Spirit
36.64772361,-86.24476383,10/25/2012 15:07,At home. Kentucky unbridled spirit. (@ Welcome To Kentucky) [pic]: http://t.co/4hktDG0z
39.08407733,-84.52143101,11/25/2012 19:15,UNBRIDLED SPIRIT 🐎
38.90181532,-77.03733586,1/20/2013 11:59,"2013 Kentucky Bluegrass Ball: “It is the unbridled spirit that makes this event so spectacular,” said Winn F.... http://t.co/dnPWD7SS"
36.16144999,-115.1394668,4/9/2013 19:01,"A six-word slogan cost Nevada $9 million: Virginia “is for lovers.” Kentucky has “unbridled spirit.” And now,... http://t.co/UJIgJCCURe"
44.883629,-93.20981717,6/26/2013 22:14,@thescrvnr UNBRIDLED SPIRIT
30.23142,-93.1736004,6/19/2013 23:54,This soul is one never to conform. This spirit will remain unbridled. &amp; I will learn to fly one day. Guaranteed.
38.2676867,-85.74581178,7/25/2013 9:24,Welcome to Kentucky! Unbridled spirit! (@ Ohio River) http://t.co/VLCzMDkO6H
38.89160193,-77.00851658,7/2/2013 20:19,"48 hours separates me and the state of unbridled spirit, lord that feels good to say... Feels like I'm coming home from a damn deployment"
38.40442096,-82.59555817,8/4/2013 16:51,The state of unbridled spirit. Officially in Kentucky! (@ Kentucky / West Virginia BORDER) http://t.co/sZ639HjOVp
39.05157961,-84.56269554,8/15/2013 9:21,"In Kentucky, the unbridled spirit. Strangely feels just like Ohio, so I'm not buying it Kentucky #1812tour"
